agent_name,size,dirt_rate,seed,repetition,initial_dirt,final_dirt,cells_cleaned,actions_taken,performance,success,is_finished,runtime_sec,recording
simple_reflex,4x4,0.4,999,1,0,0,0,77,-0.77,True,True,0.807,game_2025-08-25_17-44-15_julianfernandezrandomagent.json
random,4x4,0.4,0,1,0,0,0,285,-2.85,True,True,2.163,game_2025-08-25_17-44-18_julianfernandezrandomagent.json
simple_reflex,4x4,0.4,0,1,0,0,0,51,-0.51,True,True,0.63,game_2025-08-25_17-44-18_julianfernandezrandomagent.json
random,4x4,0.8,111,1,0,0,0,226,-2.2600000000000002,True,True,1.762,game_2025-08-25_17-44-20_julianfernandezrandomagent.json
simple_reflex,4x4,0.8,111,1,0,0,0,144,-1.44,True,True,1.237,game_2025-08-25_17-44-21_julianfernandezrandomagent.json
random,4x4,0.8,222,1,0,0,0,423,-4.23,True,True,3.04,game_2025-08-25_17-44-24_julianfernandezrandomagent.json
simple_reflex,4x4,0.8,222,1,0,0,0,105,-1.05,True,True,0.992,game_2025-08-25_17-44-25_julianfernandezrandomagent.json
random,4x4,0.8,333,1,0,0,0,685,-6.8500000000000005,True,True,4.67,game_2025-08-25_17-44-30_julianfernandezrandomagent.json
simple_reflex,4x4,0.8,333,1,0,0,0,195,-1.95,True,True,1.545,game_2025-08-25_17-44-32_julianfernandezrandomagent.json
random,4x4,0.8,444,1,0,0,0,378,-3.7800000000000002,True,True,2.763,game_2025-08-25_17-44-34_julianfernandezrandomagent.json
simple_reflex,4x4,0.8,444,1,0,0,0,68,-0.68,True,True,0.741,game_2025-08-25_17-44-35_julianfernandezrandomagent.json
random,4x4,0.8,555,1,0,0,0,503,-5.03,True,True,3.533,game_2025-08-25_17-44-39_julianfernandezrandomagent.json
simple_reflex,4x4,0.8,555,1,0,0,0,124,-1.24,True,True,1.101,game_2025-08-25_17-44-40_julianfernandezrandomagent.json
random,4x4,0.8,666,1,0,0,0,629,-6.29,True,True,4.361,game_2025-08-25_17-44-44_julianfernandezrandomagent.json
simple_reflex,4x4,0.8,666,1,0,0,0,49,-0.49,True,True,0.622,game_2025-08-25_17-44-45_julianfernandezrandomagent.json
random,4x4,0.8,777,1,0,0,0,617,-6.17,True,True,8.756,game_2025-08-25_17-44-53_julianfernandezrandomagent.json
