algorithm_name,env_n,size,best_solution,H,states,time
GA,22,8,"[5, 0, 4, 1, 7, 2, 6, 3]",0,240,0.0022706985473632812
GA,23,8,"[5, 2, 6, 1, 3, 7, 0, 4]",0,240,0.002300739288330078
GA,24,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,240,0.0022144317626953125
GA,25,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,360,0.003717660903930664
GA,26,8,"[2, 5, 3, 0, 7, 4, 6, 1]",0,1920,0.02147221565246582
GA,27,8,"[3, 1, 7, 5, 0, 2, 4, 6]",0,720,0.007850408554077148
GA,28,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,1080,0.01181483268737793
GA,29,8,"[5, 2, 0, 7, 3, 1, 6, 4]",0,1320,0.014674186706542969
random,0,10,"[6, 2, 0, 8, 4, 7, 9, 1, 3, 5]",2,20000,0.15470290184020996
random,1,10,"[4, 0, 8, 5, 9, 2, 9, 8, 1, 3]",3,20000,0.15510869026184082
random,2,10,"[8, 5, 2, 6, 1, 7, 4, 0, 3, 5]",1,20000,0.15131163597106934
random,3,10,"[2, 5, 9, 1, 9, 0, 3, 0, 4, 8]",2,20000,0.15349459648132324
random,4,10,"[6, 2, 5, 8, 0, 9, 4, 1, 7, 4]",1,20000,0.15324759483337402
random,5,10,"[7, 0, 2, 7, 1, 6, 9, 5, 0, 4]",2,20000,0.1519312858581543
random,6,10,"[0, 3, 6, 1, 7, 5, 7, 2, 4, 8]",3,20000,0.1511538028717041
random,7,10,"[0, 4, 6, 8, 3, 1, 7, 9, 2, 6]",1,20000,0.1508796215057373
random,8,10,"[2, 7, 5, 0, 8, 1, 4, 8, 3, 9]",1,20000,0.15059185028076172
random,9,10,"[7, 1, 5, 9, 6, 4, 0, 8, 3, 5]",2,20000,0.15141940116882324
random,10,10,"[4, 9, 5, 3, 1, 7, 7, 2, 6, 8]",1,20000,0.15085291862487793
random,11,10,"[3, 8, 6, 9, 0, 6, 1, 4, 2, 7]",2,20000,0.15208101272583008
random,12,10,"[3, 4, 2, 7, 9, 7, 5, 1, 6, 0]",2,20000,0.16174769401550293
random,13,10,"[6, 1, 9, 7, 5, 7, 2, 0, 3, 8]",2,20000,0.15317201614379883
random,14,10,"[4, 8, 4, 2, 7, 5, 7, 0, 9, 6]",3,20000,0.15191316604614258
random,15,10,"[7, 1, 8, 0, 2, 6, 3, 9, 4, 8]",2,20000,0.25301575660705566
random,16,10,"[7, 7, 4, 2, 8, 5, 9, 4, 6, 3]",3,20000,0.15206575393676758
random,17,10,"[4, 2, 9, 5, 2, 8, 0, 3, 1, 6]",2,20000,0.15207481384277344
random,18,10,"[4, 6, 9, 0, 2, 8, 7, 1, 3, 5]",2,20000,0.15285706520080566
random,19,10,"[0, 4, 1, 9, 6, 2, 2, 8, 3, 7]",1,20000,0.2352619171142578
random,20,10,"[7, 1, 4, 0, 8, 3, 9, 2, 9, 5]",1,20000,0.16312909126281738
random,21,10,"[2, 6, 3, 1, 8, 5, 0, 4, 7, 9]",1,20000,0.15172839164733887
random,22,10,"[4, 7, 1, 2, 9, 6, 1, 3, 8, 0]",2,20000,0.1515648365020752
random,23,10,"[2, 5, 3, 9, 7, 8, 1, 0, 6, 6]",3,20000,0.15148568153381348
random,24,10,"[9, 4, 1, 8, 7, 3, 6, 0, 9, 5]",3,20000,0.15129852294921875
random,25,10,"[1, 5, 8, 6, 3, 7, 9, 4, 0, 2]",2,20000,0.15111255645751953
random,26,10,"[0, 3, 5, 2, 8, 6, 3, 1, 9, 7]",2,20000,0.151231050491333
random,27,10,"[4, 5, 8, 4, 1, 7, 9, 6, 3, 0]",2,20000,0.1517350673675537
random,28,10,"[4, 0, 9, 3, 1, 7, 1, 3, 6, 8]",3,20000,0.15153717994689941
random,29,10,"[5, 3, 8, 0, 2, 6, 1, 1, 7, 9]",1,20000,0.15101194381713867
HC,0,10,"[5, 3, 1, 7, 2, 8, 2, 0, 9, 6]",1,631,0.004365682601928711
HC,1,10,"[6, 0, 2, 7, 9, 3, 8, 4, 1, 3]",1,541,0.003696441650390625
HC,2,10,"[5, 9, 0, 3, 3, 7, 2, 8, 1, 4]",1,451,0.0030612945556640625
HC,3,10,"[1, 5, 6, 0, 9, 7, 4, 2, 8, 3]",2,271,0.0018808841705322266
HC,4,10,"[7, 2, 0, 3, 6, 9, 5, 1, 4, 0]",1,361,0.0024313926696777344
HC,5,10,"[2, 3, 1, 6, 8, 0, 7, 0, 4, 9]",3,451,0.0031807422637939453
HC,6,10,"[3, 8, 6, 4, 0, 2, 5, 7, 1, 9]",3,451,0.003089427947998047
HC,7,10,"[8, 3, 1, 4, 7, 0, 9, 6, 2, 5]",2,91,0.0006282329559326172
HC,8,10,"[8, 2, 9, 3, 0, 7, 1, 6, 5, 0]",2,271,0.0018260478973388672
HC,9,10,"[3, 8, 4, 2, 0, 6, 1, 1, 5, 7]",1,361,0.002440214157104492
HC,10,10,"[7, 2, 4, 1, 8, 0, 3, 6, 0, 9]",1,361,0.002468585968017578
HC,11,10,"[5, 2, 6, 1, 7, 4, 0, 9, 8, 1]",2,631,0.004387617111206055
HC,12,10,"[3, 9, 4, 2, 0, 6, 1, 7, 5, 7]",1,541,0.003706693649291992
HC,13,10,"[3, 7, 0, 8, 6, 1, 5, 2, 9, 4]",2,271,0.0018587112426757812
HC,14,10,"[3, 0, 7, 4, 6, 9, 2, 5, 8, 1]",1,451,0.003070831298828125
HC,15,10,"[5, 9, 2, 0, 7, 4, 1, 8, 6, 3]",0,271,0.001859903335571289
HC,16,10,"[6, 3, 0, 9, 1, 5, 2, 8, 7, 4]",2,361,0.002472400665283203
HC,17,10,"[7, 3, 0, 3, 5, 9, 2, 4, 1, 8]",2,361,0.0024695396423339844
HC,18,10,"[2, 0, 6, 1, 5, 8, 9, 7, 4, 2]",2,451,0.003116607666015625
HC,19,10,"[1, 5, 9, 2, 3, 7, 4, 1, 8, 0]",2,271,0.001874685287475586
HC,20,10,"[5, 8, 0, 7, 3, 9, 6, 1, 4, 2]",2,271,0.0018579959869384766
HC,21,10,"[7, 0, 4, 3, 1, 9, 2, 8, 6, 2]",3,361,0.0025482177734375
HC,22,10,"[2, 6, 9, 7, 1, 8, 4, 1, 3, 0]",3,361,0.0027267932891845703
HC,23,10,"[6, 8, 0, 5, 3, 2, 9, 7, 1, 4]",2,541,0.003746509552001953
HC,24,10,"[4, 7, 0, 8, 5, 9, 1, 3, 2, 6]",2,271,0.001840829849243164
HC,25,10,"[6, 1, 1, 8, 5, 2, 9, 3, 0, 4]",1,451,0.0033173561096191406
HC,26,10,"[2, 5, 8, 0, 4, 7, 1, 6, 9, 3]",2,361,0.002487659454345703
HC,27,10,"[3, 6, 2, 2, 5, 9, 0, 8, 4, 7]",2,451,0.003092527389526367
HC,28,10,"[5, 7, 4, 0, 3, 6, 9, 2, 8, 1]",0,361,0.0024492740631103516
HC,29,10,"[4, 9, 7, 0, 2, 6, 1, 5, 0, 8]",2,361,0.002526998519897461
SA,0,10,"[0, 2, 9, 5, 8, 4, 1, 3, 6, 7]",1,1839,0.014514684677124023
SA,1,10,"[7, 4, 1, 8, 2, 9, 6, 3, 5, 0]",0,1002,0.007873296737670898
