algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found,scenario
RANDOM,18,233,569,569,0.0009627342224121094,True,scenario1
BFS,18,1392,29,29,0.0019800662994384766,True,scenario1
DFS,18,3646,37,37,0.0070497989654541016,True,scenario1
DLS50,18,1069,0,0,0.0020148754119873047,False,scenario1
DLS75,18,2481,0,0,0.004129886627197266,False,scenario1
DLS100,18,3777,29,29,0.006752967834472656,True,scenario1
UCS,18,1398,29,29,0.0033981800079345703,True,scenario1
A*,18,1398,29,29,0.003341197967529297,True,scenario1
RANDOM,18,391,0,0,0.0016567707061767578,False,scenario2
BFS,18,1392,29,182,0.0019054412841796875,True,scenario2
DFS,18,3646,37,244,0.007008552551269531,True,scenario2
DLS50,18,1069,0,0,0.0016398429870605469,False,scenario2
DLS75,18,2481,0,0,0.00406336784362793,False,scenario2
DLS100,18,3777,29,182,0.00660252571105957,True,scenario2
UCS,18,2817,29,182,0.00738525390625,True,scenario2
A*,18,197,29,182,0.0005776882171630859,True,scenario2
RANDOM,19,237,0,0,0.0016851425170898438,False,scenario1
BFS,19,1669,38,38,0.002296924591064453,True,scenario1
DFS,19,9007,100,100,0.02205824851989746,True,scenario1
DLS50,19,486,0,0,0.0009565353393554688,False,scenario1
DLS75,19,653,0,0,0.0010645389556884766,False,scenario1
DLS100,19,858,0,0,0.0014235973358154297,False,scenario1
UCS,19,1690,38,38,0.004706382751464844,True,scenario1
A*,19,1690,38,38,0.004049777984619141,True,scenario1
RANDOM,19,273,0,0,0.0016460418701171875,False,scenario2
BFS,19,1669,38,308,0.002260446548461914,True,scenario2
DFS,19,9007,100,766,0.022768497467041016,True,scenario2
DLS50,19,486,0,0,0.0008351802825927734,False,scenario2
DLS75,19,653,0,0,0.0011663436889648438,False,scenario2
DLS100,19,858,0,0,0.0014684200286865234,False,scenario2
UCS,19,4865,38,308,0.0145416259765625,True,scenario2
A*,19,255,38,308,0.0007193088531494141,True,scenario2
RANDOM,20,213,0,0,0.001622915267944336,False,scenario1
BFS,20,2628,56,56,0.00370025634765625,True,scenario1
DFS,20,3214,148,148,0.006067514419555664,True,scenario1
DLS50,20,554,0,0,0.0008792877197265625,False,scenario1
DLS75,20,806,0,0,0.001306295394897461,False,scenario1
DLS100,20,940,0,0,0.0018477439880371094,False,scenario1
UCS,20,2668,56,56,0.006515026092529297,True,scenario1
A*,20,2668,56,56,0.006841897964477539,True,scenario1
RANDOM,20,256,0,0,0.0017364025115966797,False,scenario2
BFS,20,2628,56,524,0.0037713050842285156,True,scenario2
DFS,20,3214,148,814,0.0061419010162353516,True,scenario2
DLS50,20,554,0,0,0.0008680820465087891,False,scenario2
DLS75,20,806,0,0,0.0012459754943847656,False,scenario2
DLS100,20,940,0,0,0.0014698505401611328,False,scenario2
UCS,20,4629,56,524,0.012270927429199219,True,scenario2
A*,20,212,56,524,0.0005948543548583984,True,scenario2
RANDOM,21,284,0,0,0.001562356948852539,False,scenario1
BFS,21,2340,40,40,0.0031135082244873047,True,scenario1
DFS,21,3879,224,224,0.00732874870300293,True,scenario1
DLS50,21,1016,0,0,0.0015072822570800781,False,scenario1
DLS75,21,1252,0,0,0.001917123794555664,False,scenario1
DLS100,21,1477,0,0,0.002336263656616211,False,scenario1
UCS,21,2376,40,40,0.006493568420410156,True,scenario1
A*,21,2376,40,40,0.005517244338989258,True,scenario1
RANDOM,21,280,0,0,0.0015866756439208984,False,scenario2
BFS,21,2340,40,355,0.003077268600463867,True,scenario2
DFS,21,3879,224,1295,0.0070972442626953125,True,scenario2
DLS50,21,1016,0,0,0.0015306472778320312,False,scenario2
DLS75,21,1252,0,0,0.0019099712371826172,False,scenario2
DLS100,21,1477,0,0,0.002292633056640625,False,scenario2
UCS,21,4385,40,355,0.01183629035949707,True,scenario2
A*,21,147,40,355,0.000469207763671875,True,scenario2
RANDOM,22,362,0,0,0.001798868179321289,False,scenario1
BFS,22,9174,143,143,0.013487815856933594,True,scenario1
DFS,22,7547,205,205,0.01765155792236328,True,scenario1
DLS50,22,446,0,0,0.0008499622344970703,False,scenario1
DLS75,22,545,0,0,0.001016855239868164,False,scenario1
DLS100,22,917,0,0,0.0016603469848632812,False,scenario1
UCS,22,9174,143,143,0.026206016540527344,True,scenario1
A*,22,9174,143,143,0.026972532272338867,True,scenario1
RANDOM,22,289,0,0,0.001768350601196289,False,scenario2
BFS,22,9174,143,593,0.013758420944213867,True,scenario2
DFS,22,7547,205,1141,0.016382217407226562,True,scenario2
DLS50,22,446,0,0,0.0007615089416503906,False,scenario2
DLS75,22,545,0,0,0.0008475780487060547,False,scenario2
DLS100,22,917,0,0,0.0014438629150390625,False,scenario2
UCS,22,9130,143,593,0.02780604362487793,True,scenario2
A*,22,3949,143,593,0.012947797775268555,True,scenario2
RANDOM,23,344,0,0,0.0015904903411865234,False,scenario1
BFS,23,6687,96,96,0.009894371032714844,True,scenario1
DFS,23,1148,152,152,0.002092599868774414,True,scenario1
DLS50,23,377,0,0,0.0005712509155273438,False,scenario1
DLS75,23,554,0,0,0.0009109973907470703,False,scenario1
DLS100,23,629,0,0,0.0010142326354980469,False,scenario1
UCS,23,6754,96,96,0.019415616989135742,True,scenario1
A*,23,6754,96,96,0.021103620529174805,True,scenario1
RANDOM,23,371,0,0,0.0017082691192626953,False,scenario2
BFS,23,6687,96,834,0.011164665222167969,True,scenario2
